[2025-05-16 15:30:04,807] Forwarding module: linear module76, using bit[76] = 3.0000
[2025-05-16 15:30:04,807] Forwarding module: linear module77, using bit[77] = 4.0000
[2025-05-16 15:30:04,807] Forwarding module: linear module78, using bit[78] = 4.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module79, using bit[79] = 4.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module80, using bit[80] = 3.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module81, using bit[81] = 3.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module82, using bit[82] = 4.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module83, using bit[83] = 3.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module84, using bit[84] = 4.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module85, using bit[85] = 3.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module86, using bit[86] = 4.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module87, using bit[87] = 3.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module88, using bit[88] = 3.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module89, using bit[89] = 4.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module90, using bit[90] = 4.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module91, using bit[91] = 3.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module92, using bit[92] = 4.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module93, using bit[93] = 4.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module94, using bit[94] = 3.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module95, using bit[95] = 3.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module96, using bit[96] = 4.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module97, using bit[97] = 3.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module98, using bit[98] = 3.0000
[2025-05-16 15:30:04,808] Forwarding module: linear module99, using bit[99] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module100, using bit[100] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module101, using bit[101] = 4.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module102, using bit[102] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module103, using bit[103] = 3.0000
[2025-05-16 15:30:04,809] Forwarding module: linear module104, using bit[104] = 4.0000
